Time,u1,u2,u3,u4
2016-11-02 14:00,-0.03799,0.15155,-0.15027,0.17081
2016-12-14 14:00,-0.06987,1.20331,1.17036,0.65884
2017-02-01 14:00,-0.03505,-0.70798,0.14856,-0.01734
2017-03-15 14:00,0.07792,-1.49932,-0.44436,-0.44097
2017-05-03 14:00,0.00434,0.16683,0.32271,0.34325
2017-06-14 14:00,0.28778,0.3785,-0.09334,0.23414
2017-07-26 14:00,-0.00183,-0.30436,-0.25214,-0.25534
2017-09-20 14:00,-0.0003,0.84029,0.48603,0.396
2017-11-01 14:00,-0.03502,-0.00862,0.12764,0.24431
2017-12-13 14:00,0.00125,-0.30063,-0.1768,-0.08469
2018-01-31 14:00,-0.0792,0.1753,0.38068,-0.01337
2018-03-21 14:00,0.01719,-0.61433,0.72842,0.77254
2018-05-02 14:00,-0.0366,-0.33858,-0.16033,0.04602
2018-06-13 14:00,-0.13582,0.90609,0.29614,0.32532
2018-08-01 14:00,0.00049,0.01969,-0.14497,0.00394
2018-09-26 14:00,0.16276,-0.33579,-0.04799,0.38867
2018-11-08 14:00,0.05722,0.04035,-0.01485,0.27765
2018-12-19 14:00,0.35285,0.6793,-0.28432,-1.83948
2019-01-30 14:00,0.03026,-1.26066,-0.21072,1.00501
2019-03-20 14:00,0.01423,-1.33968,-0.71694,0.07148
2019-05-01 14:00,-0.39088,-0.81259,0.09026,-0.16026
2019-06-19 14:00,0.94305,-2.30183,0.24724,-0.39971
2019-07-31 14:00,0.60694,0.2722,-0.5214,-0.11569
2019-09-18 14:00,0.51459,0.63135,0.26657,-0.16768
2019-10-11 11:00,-0.11042,-0.24218,0.03236,0.29847
2019-10-30 14:00,-0.18429,0.31051,-0.28018,0.37109
2019-12-11 14:00,0.00652,-0.261,-0.06792,0.21619
2020-01-29 14:00,0.2307,-0.08404,-0.15665,0.04939
2020-03-03 10:00,-3.90036,0.61348,-0.35013,0.14342
2020-04-29 14:00,-0.46648,0.40923,0.33834,-0.25834
2020-06-10 14:00,0.02392,-0.52135,-0.5278,0.90424
2020-07-29 14:00,0.0786,-0.11591,-0.2139,0.03749
2020-09-16 14:00,-0.06391,-0.32948,0.0462,0.77632
2020-11-05 14:00,0.00182,-0.0997,0.14629,0.08184
2020-12-16 14:00,-0.08361,0.00386,0.82076,-0.0848
2021-01-27 14:00,0.02342,0.22063,0.13978,-0.62692
2021-03-17 14:00,-0.06434,-0.55766,-0.54325,0.69303
2021-04-28 14:00,-0.07458,-0.05466,-0.06183,0.0469
2021-06-16 14:00,0.39645,0.24778,1.67892,-0.16778
2021-07-28 14:00,0.00936,-0.03899,0.10286,0.47558
2021-09-22 14:00,0.01615,-0.15929,-0.29929,0.69446
2021-11-03 14:00,0.012,-0.06153,0.17089,0.61322
2021-12-15 14:00,-0.04373,0.2362,-0.27979,1.54343
2022-01-26 14:00,-0.16079,0.0568,0.68253,-0.27274
2022-03-16 14:00,-0.34062,2.91864,-0.47225,-0.28381
2022-05-04 14:00,-0.31846,-0.51895,0.11098,-0.80033
2022-06-15 14:00,0.68686,0.59332,-0.36849,0.22367
2022-07-27 14:00,-0.22732,0.16126,-0.04731,0.1105
2022-09-21 14:00,-0.56487,3.35267,-0.95584,-1.7926
2022-11-02 14:00,-0.01834,-2.04558,-0.13245,0.33222
2022-12-14 14:00,-0.04357,2.49671,-0.17783,-1.28213
2023-02-01 14:00,-0.11131,0.4106,-0.17494,0.48347
2023-03-22 14:00,0.53424,-2.50469,1.02521,-0.26407
2023-05-03 14:00,0.21848,-0.1584,0.18211,0.36063
2023-06-14 14:00,-0.30722,3.21933,-0.50616,0.03205
2023-07-26 14:00,0.00378,0.10561,-0.25704,0.18066
2023-09-20 14:00,-0.11607,1.5331,-0.18803,0.45113
2023-11-01 14:00,-0.03992,-0.24614,0.13207,-0.09122
2023-12-13 14:00,-0.05152,-3.04075,-0.25198,-0.48662
2024-01-31 14:00,0.02592,0.38656,0.10165,-0.44602
