Time,u1,u2,u3,u4
2018-09-26 14:00,1.06851,-1.41619,-0.12665,0.66631
2018-11-08 14:00,0.37563,0.17018,-0.03919,0.47598
2018-12-19 14:00,2.31647,2.86494,-0.75032,-3.15353
2019-01-30 14:00,0.19868,-5.31681,-0.55609,1.72295
2019-03-20 14:00,0.09341,-5.65007,-1.89204,0.12254
2019-05-01 14:00,-2.56612,-3.42709,0.23821,-0.27475
2019-06-19 14:00,6.19112,-9.7079,0.65248,-0.68525
2019-07-31 14:00,3.98457,1.148,-1.37599,-0.19834
2019-09-18 14:00,3.37828,2.66272,0.70349,-0.28747
2019-10-11 11:00,-0.7249,-1.02138,0.08539,0.51169
2019-10-30 14:00,-1.20983,1.30958,-0.73941,0.63618
2019-12-11 14:00,0.0428,-1.10075,-0.17925,0.37063
2020-01-29 14:00,1.51453,-0.35442,-0.41339,0.08468
2020-03-03 10:00,-25.60574,2.58732,-0.92399,0.24587
2020-04-29 14:00,-3.06241,1.72593,0.89289,-0.44289
2020-06-10 14:00,0.15703,-2.1988,-1.39287,1.5502
2020-07-29 14:00,0.51598,-0.48884,-0.56448,0.06427
2020-09-16 14:00,-0.41955,-1.38957,0.12192,1.33089
2020-11-05 14:00,0.01193,-0.42048,0.38608,0.1403
2020-12-16 14:00,-0.54888,0.01628,2.16602,-0.14537
2021-01-27 14:00,0.15376,0.93052,0.36887,-1.07477
2021-03-17 14:00,-0.42237,-2.35191,-1.43364,1.1881
2021-04-28 14:00,-0.48963,-0.23053,-0.16318,0.0804
2021-06-16 14:00,2.6027,1.04501,4.43071,-0.28764
2021-07-28 14:00,0.06143,-0.16444,0.27146,0.81531
2021-09-22 14:00,0.10604,-0.67178,-0.78984,1.19056
2021-11-03 14:00,0.07881,-0.2595,0.451,1.05129
2021-12-15 14:00,-0.28711,0.99615,-0.73837,2.64599
2022-01-26 14:00,-1.05555,0.23956,1.80122,-0.46758
2022-03-16 14:00,-2.23613,12.30928,-1.24627,-0.48656
2022-05-04 14:00,-2.09069,-2.18864,0.29287,-1.37205
2022-06-15 14:00,4.5092,2.50232,-0.97246,0.38345
2022-07-27 14:00,-1.49234,0.68012,-0.12486,0.18943
2022-09-21 14:00,-3.70838,14.13978,-2.52249,-3.07316
2022-11-02 14:00,-0.12042,-8.62716,-0.34954,0.56955
2022-12-14 14:00,-0.28606,10.52981,-0.46929,-2.19803
2023-02-01 14:00,-0.73073,1.73168,-0.46168,0.82884
2023-03-22 14:00,3.5073,-10.56348,2.70556,-0.4527
2023-05-03 14:00,1.43432,-0.66804,0.4806,0.61825
2023-06-14 14:00,-2.01687,13.57742,-1.33577,0.05494
2023-07-26 14:00,0.02484,0.44542,-0.67833,0.30972
2023-09-20 14:00,-0.76198,6.46583,-0.49622,0.7734
2023-11-01 14:00,-0.26209,-1.03808,0.34853,-0.15639
2023-12-13 14:00,-0.33825,-12.82426,-0.66498,-0.83424
2024-01-31 14:00,0.17015,1.63029,0.26824,-0.76465
